"date","대우건설_ema5","건설_idx_ema5diffn","건설_idx_ema20diffn","에스피지_ema5","로봇2_idx_ema5diffn","로봇2_idx_ema20diffn","NAVER_ema5","SW_idx_ema5diffn","SW_idx_ema20diffn","대한광통신_ema5","optic_idx_ema5diffn","optic_idx_ema20diffn","로보티즈_ema5","로봇_idx_ema5diffn","로봇_idx_ema20diffn","OCI홀딩스_ema5","태양광_idx_ema5diffn","태양광_idx_ema20diffn","삼성SDI_ema5","이차전지_idx_ema5diffn","이차전지_idx_ema20diffn","가온전선_ema5","전선_idx_ema5diffn","전선_idx_ema20diffn","스피어_ema5","스페이스1_idx_ema5diffn","스페이스1_idx_ema20diffn","비에이치아이_ema5","원전_idx_ema5diffn","원전_idx_ema20diffn","한화에어로스페이스_ema5","방산_idx_ema5diffn","방산_idx_ema20diffn","현대차_ema5","자동차_idx_ema5diffn","자동차_idx_ema20diffn","프로텍_ema5","반도체장비_idx_ema5diffn","반도체장비_idx_ema20diffn","미래에셋증권_ema5","증권_idx_ema5diffn","증권_idx_ema20diffn","휴스틸_ema5","강관_idx_ema5diffn","강관_idx_ema20diffn","한솔케미칼_ema5","반도체소재_idx_ema5diffn","반도체소재_idx_ema20diffn","HJ중공업_ema5","조선_idx_ema5diffn","조선_idx_ema20diffn","브이엠_ema5","전공정_idx_ema5diffn","전공정_idx_ema20diffn","LS.ELECTRIC_ema5","인프라_idx_ema5diffn","인프라_idx_ema20diffn","SK_ema5","지주_idx_ema5diffn","지주_idx_ema20diffn","삼성전자_ema5","mem_idx_ema5diffn","mem_idx_ema20diffn","두산테스나_ema5","후공정_idx_ema5diffn","후공정_idx_ema20diffn","삼성전기_ema5","전자부품_idx_ema5diffn","전자부품_idx_ema20diffn"
2026-03-31,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
2026-04-01,1.06592078295766,NA,NA,1.00885243479115,NA,NA,1.00389204724569,NA,NA,1.05187706636059,NA,NA,1.02835421295651,NA,NA,1.01448280722518,NA,NA,1.0231270522279,NA,NA,0.999481284606849,NA,NA,1.01887355353053,NA,NA,1.01082817612935,NA,NA,1.00435758663528,NA,NA,1.00952579861156,NA,NA,1.01366862350351,NA,NA,1.01623331450366,NA,NA,1.0016560648991,NA,NA,1.02377995230566,NA,NA,1.00154787594804,NA,NA,0.994016181862429,NA,NA,1.00744643945906,NA,NA,0.999888809750851,NA,NA,1.02343496601094,NA,NA,1.00762197507742,NA,NA,1.0090954008543,NA,NA
2026-04-02,1.0494748605619,NA,NA,1.00280665874008,NA,NA,0.982937039497306,NA,NA,1.1155265364369,NA,NA,1.02900363140759,NA,NA,1.04385954578497,NA,NA,1.04762162464181,NA,NA,0.98699826887161,NA,NA,1.01031634338001,NA,NA,0.98902129074282,NA,NA,1.02908189241415,NA,NA,1.00040371378278,NA,NA,0.999894992108418,NA,NA,1.00081178184266,NA,NA,1.02605824300465,NA,NA,1.01903056428667,NA,NA,0.985730424226285,NA,NA,0.982551439976581,NA,NA,0.997388954034112,NA,NA,0.984339970390957,NA,NA,1.01789485265314,NA,NA,0.993816554595109,NA,NA,0.994335632452964,NA,NA
2026-04-03,1.04613734611466,4.6682983665854,NA,0.992649269964925,-3.9957984975255,NA,0.971690469709318,-0.433501602421571,NA,1.26521257145038,13.082907500961,NA,1.01861975322737,1.0723240923947,NA,1.10736927240396,11.2017591685607,NA,1.06023821056815,2.64873893067374,NA,0.990813463854589,2.43552651351752,NA,0.999595365284314,-0.553676323594883,NA,0.978975435046396,0.78100430283157,NA,1.05368355289508,9.3418714694244,NA,0.99819047820605,-0.222464198604771,NA,0.991331112990897,-3.45051561125296,NA,0.998403882767696,-0.625989440246974,NA,1.06751353454111,11.4758149920606,NA,1.00962106634792,-2.74671868602279,NA,0.999055395857415,4.41450149076419,NA,0.981203461703884,0.912110775529403,NA,0.994975900435857,-0.0515675182537501,NA,0.978616491242499,0.604278402996966,NA,1.02887475107663,2.65220153141538,NA,0.976329284273305,0.506981518471313,NA,1.01457398647666,4.21843106329286,NA
2026-04-06,1.05421832812723,6.49191930121727,NA,0.978831775329206,-5.4921062052121,NA,0.96307134195008,-0.560203905133226,NA,1.39979909990143,11.3713597408051,NA,1.00561270437836,-0.211344056777965,NA,1.12640182299912,4.91371109044269,NA,1.08102636457326,3.80529234664003,NA,0.982816718286624,0.375736965591569,NA,0.976682936663709,-2.71814450413995,NA,0.969168304757652,0.118722847691166,NA,1.07033837206866,3.68395865736436,NA,0.995308386254609,-0.679656213636114,NA,0.979436442120449,-3.51784055849685,NA,0.99732349156432,0.458308588259033,NA,1.06555546752608,7.58274142610706,NA,1.00459671557397,0.204773149346554,NA,0.994599626470315,0.883037636285384,NA,0.968501341426084,0.250203794817454,NA,1.00624300809215,2.27658491812449,NA,0.976348309729573,0.939733206735151,NA,1.0491749167651,3.34727234997246,NA,0.959700910058612,1.11983894227895,NA,1.03269363781932,4.24543995136242,NA
2026-04-07,1.06043012880047,5.33178684575532,NA,0.970845486520283,-4.63691557984685,NA,0.955883438047938,0.247928192705937,NA,1.45063398570806,2.72602071110987,NA,0.985448463176347,-1.50023308900074,NA,1.10914931610727,0.0338258287372297,NA,1.09736055325417,3.2884723071213,NA,0.977804949399724,-0.983853349238301,NA,0.941343298935245,-4.4386343677074,NA,0.956410431582898,-0.257875024119429,NA,1.10351454505937,3.39677003149764,NA,0.996200194754222,-0.559359610699851,NA,0.975836454227955,-1.87748347309986,NA,0.987680358369833,-0.698074573423355,NA,1.05606425835625,1.89208360028605,NA,0.995003909131913,0.266725374113465,NA,0.988820885375507,0.519650246210847,NA,0.955311874002484,0.784581899219138,NA,1.0090332828428,0.310780953934488,NA,0.973288717468243,0.147483022481644,NA,1.06910441759813,2.81768821755835,NA,0.945301864582045,0.453798032515648,NA,1.04091722594204,1.08062340252824,NA
2026-04-08,1.17175364234755,14.7076600915236,NA,0.995849307449509,3.11324837822928,NA,0.960062818651146,2.90159872715557,NA,1.5684432846453,5.10784111405582,NA,1.00310400417438,5.95421397178896,NA,1.09298619141587,1.45759801228565,NA,1.12062710909566,6.04419679860268,NA,0.992350172297521,4.77650345169621,NA,0.953613335654471,2.4087178045236,NA,0.964836823325503,6.34575962659841,NA,1.11218524784581,1.43521481086124,NA,1.02141026117565,4.69527117484124,NA,0.99261125848847,3.53946287808162,NA,1.01379384339617,6.36931979288271,NA,1.05855229605617,3.08094371486739,NA,1.00359247905982,3.40272179929877,NA,1.02287947160831,4.22644689205207,NA,0.979175157452353,6.88044017168156,NA,1.0108934660099,5.30641670862047,NA,1.00168259059738,6.17227696489306,NA,1.10872745694855,7.72000339976027,NA,0.931726345730876,3.44483890307412,NA,1.09036006362903,5.85024434963889,NA
2026-04-09,1.2624589046761,9.65984343775096,NA,0.994750594319766,-1.22716720907361,NA,0.962849072386618,2.12882020272985,NA,1.62610531420489,7.15694734262729,NA,1.00540964400225,3.42328257195128,NA,1.08723080172588,0.184303100038938,NA,1.14315183446514,6.63416793784478,NA,0.9924649856058,0.774485247178677,NA,0.935279311682353,-2.86692419570901,NA,0.962852456768185,2.89234203192956,NA,1.10959321422212,5.28648994406319,NA,1.02520590762895,1.24399650598652,NA,0.991423625077946,2.29256335991522,NA,1.03120283341373,3.1703120419684,NA,1.06965617765589,5.58500648019078,NA,1.00307495308568,2.10845242435635,NA,1.03716051125328,1.25941577207613,NA,0.993116768402933,5.46902358247497,NA,1.01213358812129,2.48035234154556,NA,1.01803272059561,4.45413666346174,NA,1.12291506040826,3.23681724823143,NA,0.906771379029594,1.67490127120193,NA,1.12486442719597,3.56694886989384,NA
2026-04-10,1.34251046368553,7.86012745506446,NA,0.992180057477604,-1.18325924072909,NA,0.965507585282108,1.471145856672,NA,1.81150791431169,14.3259929101369,NA,1.00221437680208,2.59102903141359,NA,1.07676026846143,0.849404207337929,NA,1.15899345782619,6.95619256522023,NA,1.00052653318505,2.32783546524404,NA,0.906216625287985,-3.66938167270083,NA,0.95634639046698,0.997373486478654,NA,1.12207307423927,6.42625234854349,NA,1.02773633859781,0.332921003604701,NA,1.0030027057218,5.31855567222299,NA,1.03651032859955,2.96882334017964,NA,1.06383549966935,4.64555934164363,NA,1.01459209036248,3.16854836331758,NA,1.05510588886016,1.67189492070673,NA,1.02405086721265,7.17993700862625,NA,1.01296033619556,3.70758383439542,NA,1.04389169603733,3.78897867092761,NA,1.13613584920927,3.05498805243488,NA,0.896761659895615,3.26032540569594,NA,1.18565789474329,9.13558255065942,NA
2026-04-13,1.38454157888334,3.78272727909516,NA,0.981888746278604,-2.7008590867752,NA,0.96247386478138,0.409641271313846,NA,2.02107583680839,11.6918009818385,NA,0.987915271877577,0.782441331956432,NA,1.06493917285123,-1.16085265537265,NA,1.16666655083202,5.65468856224567,NA,0.993763692764748,0.555062818234634,NA,0.895082353922193,0.528846517658614,NA,0.952009012932844,0.272042672167962,NA,1.13622836120232,4.6401348448372,NA,1.02168698395881,-1.18683140491503,NA,1.03608230713198,6.6419969585697,NA,1.0337501605642,2.25569259506269,NA,1.05995504767831,5.23455719677059,NA,1.00104316839831,2.70185012538424,NA,1.06847358801644,1.35835079411871,NA,1.04585394656207,7.05958090643315,NA,1.05986441777687,6.37797223996878,NA,1.05648859924033,1.19887861623468,NA,1.13554374217361,1.74025472840637,NA,0.888431782472911,2.72174529069912,NA,1.2285005807716,6.65530141723582,NA
