"date","건설_idx","로봇2_idx","SW_idx","optic_idx","로봇_idx","태양광_idx","이차전지_idx","전선_idx","스페이스1_idx","원전_idx","방산_idx","자동차_idx","반도체장비_idx","증권_idx","강관_idx","반도체소재_idx","조선_idx","전공정_idx","인프라_idx","지주_idx","mem_idx","후공정_idx","전자부품_idx"
2026-06-23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2026-06-24,101.269076964505,103.253451739586,99.5058333375432,102.285463301488,101.516163521933,98.5635336681592,102.001595580129,98.9896736499085,101.475397135499,101.641248191359,101.391324471462,99.1964467169396,102.713878639877,98.7588752664924,99.8031762134551,99.1122484788395,101.034835684785,101.908447662661,97.8302438074532,100.912736335862,104.937321389115,98.0020950546529,97.1610834801562
2026-06-25,100.579017720316,99.0313235908664,99.9409709652448,97.710759951497,99.5205853326502,98.4649368976186,97.3452913973573,93.1883924980571,93.2421041852832,98.4651774608072,97.5724293595913,98.6352846563249,99.3715753731206,103.040725388178,96.0626996320161,97.3734172554864,99.7070363942059,101.77215405043,97.4324878716531,106.217439595193,110.856504589412,91.5654755698272,96.9978858683074
2026-06-26,95.5446761173195,91.5333449885592,98.4168383224419,90.237563740695,92.2138523908251,90.6671337666657,90.9309901672856,89.9945248189202,87.95089258801,90.7885533381682,92.7623202006449,93.7801611402342,100.972659665527,95.8320829558097,91.2718216515395,95.444257974498,94.9787633321544,105.318173225281,90.5110164465944,101.015308094314,103.138524786263,90.6241268778059,94.646452476374
2026-06-29,105.483298554346,102.472788189406,102.362903611589,95.4573119757001,98.2599671417249,103.06680529354,107.006933612364,97.4934420930593,97.8493454951133,101.059769300425,98.0912825600257,98.0592752667692,103.944318659615,103.118841626,98.3117101207407,101.943741998339,102.186938351,108.180386474787,96.8261478834067,101.182205131768,99.6140455435999,92.065410841793,95.0494376689523
2026-06-30,103.459482278167,102.056545637073,99.2653650585409,92.7471153493665,101.133381509823,103.14566849878,100.342707670483,104.072884217067,103.688813084186,99.1538990633044,94.2311347927372,97.0073539427289,116.14153386102,104.15543997727,93.5428347787196,104.441987323721,98.557533928474,118.580052695592,102.193507902587,101.417229989231,102.481014073517,94.3430875119544,101.611911790181
2026-07-01,112.716504848975,102.260757417312,100.167102401079,97.657496554345,98.1202622985808,111.855032663127,97.4632168984365,126.204142655578,114.079476149545,104.686169799511,100.526130195847,96.7988374026841,120.711142101224,106.010950982409,97.1645019628439,106.921244387387,104.973769097822,127.34357002128,110.780141378029,100.605063364529,98.966502217966,98.2727935292003,105.178717415749
2026-07-02,108.274051300446,92.6128044816025,101.005476098748,84.8637334180404,92.1774267346551,102.996622885802,91.9938427862862,115.575333568054,100.241844312061,99.5333135475269,100.045800865258,95.1952922618135,109.611617503814,101.168799305358,91.9373518187548,95.0442923188254,100.272422049806,111.159667457669,102.629542051114,95.3994565188576,87.9991993215538,85.4884942965138,94.8166035175796
2026-07-03,106.693192571184,94.4031957262662,99.6077692292072,86.8126011308149,92.1125304348237,99.042197324824,91.7472621455677,115.772597336116,102.877056106063,98.5079554404971,102.149529892969,96.6673029873122,108.857144926866,108.84629161076,91.426949973771,94.0505130289984,101.352492465826,107.567053566526,98.4089274318996,96.7338064293213,95.0119809686623,88.075995457111,92.9039402185562
2026-07-06,109.516240147067,93.1715605655752,99.4499016586912,81.3607173495914,90.2198594073273,94.4099378095799,89.1119453260528,114.62651991084,100.97306691184,97.4774441595511,102.91203904514,97.8793272795158,102.804238230045,113.034318389759,90.5861172929344,92.0822693692209,102.391423775539,100.892272567477,93.7465911614341,97.7787319811134,94.954282166894,85.6189729252982,87.597386744452
2026-07-07,106.931647309611,88.7847296796745,100.626521522306,78.4417312057601,88.2025252709568,93.4210773879001,87.0638684162938,105.067756628234,91.3621669132718,92.971294057569,98.2902626113241,94.3540009320599,96.6610370884585,109.134515204427,88.5947027638594,89.5301867304397,92.4403334381505,93.5185185217274,88.646432489543,92.8401287640842,88.5816041208829,82.5856514386704,81.7669390194789
2026-07-08,98.7836239989881,81.0321331762651,97.7936788085358,73.1022513380204,84.8309988709193,86.567389210561,80.5342223728791,94.8738398737702,83.0183641123999,85.2831909544887,90.2513913948812,91.1295164226206,89.7816169224391,104.749316542038,84.6330430728636,83.9248844058535,85.9483360136252,88.2324065551034,80.9319051871629,86.8342477309866,82.7788532571882,77.8420706915157,74.1253226716401
2026-07-09,100.040719306253,84.4258745057104,96.0070137014134,75.786989570901,84.6729622186106,88.6333681563582,79.9915141102086,93.5217217059083,84.0065896632758,84.8838249272174,88.6687536017929,88.3755304135434,90.3048222341649,100.545200196014,84.3209178938543,86.0084347791163,83.4610267174296,93.1534457654069,81.898772294945,84.909491621731,84.2539560185996,81.4965964428811,76.3762037349953
2026-07-10,106.236795641826,89.1533271676908,100.130340879079,90.2124332112747,88.1766018603041,93.3398077285742,87.5516766323571,103.584236711784,92.6271746123581,91.0527933792286,93.5160855851787,90.6124049779722,104.315616371975,107.361405614711,87.5650342043639,92.5934103110592,88.817069926618,107.503115536877,86.5517557528641,90.4876552769889,88.4060399728981,92.0402776704596,79.970936081818
2026-07-13,98.9989097765932,83.3084661025825,97.2242034081447,83.3680396799124,83.7112531289633,96.12113468804,88.3692018864102,98.7439796681268,83.923241832713,86.454917434989,89.4257411896837,88.6511301297537,98.3362199891305,104.452846848217,85.2925629128373,91.6259156778887,85.1834373018683,104.143010860078,79.0968819061399,84.7788869762252,77.8578730346843,86.3888149974068,71.2086319520952
2026-07-14,96.4251820020933,79.9316968039413,95.8394648030976,83.1673169471829,81.2360665023596,88.7267171511389,81.3486632071545,98.9663316437829,81.6541846291877,83.370054435949,85.9672321978584,84.7022256745472,101.326094292475,98.8683040204528,83.3214309592893,88.4476268036587,81.0226885353797,115.912906068728,79.9221653592112,82.1157604095173,79.0507655603004,85.5120448119853,70.1939081669327
2026-07-15,100.111595145848,85.3610086345783,98.5239321091211,92.5488644774666,87.2103189453195,94.9578365120766,86.1703189279017,103.363801409015,85.6421351116041,85.201054762798,90.0146625147536,88.0131128216655,108.166449620885,105.790147372319,85.2429096601158,93.2200635581218,85.0189243714951,119.041544920404,83.9946651795644,86.3245808544706,86.7196368589283,90.6282449663647,81.491344915548
2026-07-16,95.5229047174725,78.9010080360435,100.610249618899,82.8752834991876,79.4173348701888,89.1045683646179,83.3738635394591,94.8010772185504,80.4036739406533,82.1154616278946,89.4217269511065,85.4918420710912,103.508265088602,103.273888848079,84.1732179767002,89.4383275081785,85.730361817025,109.104622685343,80.0503925829472,84.3502444871881,78.3018092734723,84.6559425681643,76.0244600459787
