"date","삼성전자_ema5","kospi_ema5diffn","kospi_ema20diffn","LS.ELECTRIC_ema5","인프라_ema5diffn","인프라_ema20diffn","SK하이닉스_ema5","반도체_ema5diffn","반도체_ema20diffn","로보티즈_ema5","로봇_ema5diffn","로봇_ema20diffn","에이비엘바이오_ema5","바이오_ema5diffn","바이오_ema20diffn","한화오션_ema5","조선_ema5diffn","조선_ema20diffn","한화에어로스페이스_ema5","방산_ema5diffn","방산_ema20diffn","비에이치아이_ema5","원자력_ema5diffn","원자력_ema20diffn","KB금융_ema5","금융지주_ema5diffn","금융지주_ema20diffn","미래에셋증권_ema5","증권_ema5diffn","증권_ema20diffn","현대차_ema5","자동차_ema5diffn","자동차_ema20diffn","삼성SDI_ema5","이차전지_ema5diffn","이차전지_ema20diffn","OCI홀딩스_ema5","태양광_ema5diffn","태양광_ema20diffn","대우건설_ema5","건설_ema5diffn","건설_ema20diffn","에이피알_ema5","뷰티_ema5diffn","뷰티_ema20diffn"
2026-03-31,1,-4.96349707941777,-8.49756398003712,1,-6.13098540448223,-7.87316965210561,1,-7.24522155807248,-12.1268739467144,1,-4.96135094031752,-12.3855435307103,1,-5.8523902833161,-6.2523066982049,1,-3.67255600626056,-10.7108219862623,1,-5.67325423632564,-9.34132160715177,1,-5.02950160019004,-3.4625096085838,1,-2.74718699419449,-5.03382911612639,1,-3.6967464434793,-6.03870825359793,1,-4.96729244500091,-8.8311933060761,1,-0.721006655623707,-0.531594795698339,1,-2.32663174536492,-1.24539362719885,1,-4.96729244500091,-8.8311933060761,1,0.0847365056082888,0.465936465288944
2026-04-01,1.02343496601094,2.24984488527857,0.109879258732797,1.00744643945906,1.60043851753148,0.722474093769176,1.00340887328566,2.15400035252855,-1.06199947426707,1.02835421295651,1.13054479695466,-4.75678243209388,1.01396570605603,-0.245115459858396,-0.675737739831966,1.01258448493238,0.948364560737289,-4.76792853067722,1.00435758663528,2.97633674211701,1.03896852822675,1.01082817612935,3.81135784181441,6.44524815653124,1.00334086674556,1.59869847650908,0.204397444808617,1.01623331450366,2.9808298393822,2.09339713628913,1.00952579861156,2.2541638478524,-0.158641890578888,1.0231270522279,2.53013899711957,3.59744854903452,1.01448280722518,1.25787853139418,2.64510250323953,1.06592078295766,2.2541638478524,-0.158641890578888,1.01335336798237,1.8016439646047,2.7809473592008
2026-04-02,1.01789485265314,-1.75665587024139,-4.41694724712788,0.997388954034112,-1.88122199911791,-3.3831353726049,0.980529027556956,-2.80548035545291,-6.90634951472028,1.02900363140759,-1.80368810791672,-7.98116193096574,0.984130310576799,-5.96286475555574,-8.51588000857487,1.00077057521485,-1.7298373643756,-7.70452122432529,1.02908189241415,2.34158605370557,1.43469412431872,0.98902129074282,-2.50799578312489,-0.833037522267035,1.00148170827468,-2.04133336240183,-4.09164187748464,1.00081178184266,-2.53977550681575,-4.30595053718491,1.00040371378278,-1.35571447713272,-4.11867343151292,1.04762162464181,1.16667532731732,2.55673503556129,1.04385954578497,1.02200459632207,2.63861649465811,1.0494748605619,-1.35571447713272,-4.11867343151292,1.01821850470057,-1.64523318404312,-1.3082567374833
2026-04-03,1.02887475107663,0.802533548834338,-1.24775161887095,0.994975900435857,-0.366795420709945,-1.83891475848248,0.98254462817982,0.820893592445588,-2.45054908367537,1.01861975322737,-1.65258558359827,-7.86900644826771,0.958454943547142,-5.3465503496807,-9.61074298548588,1.01664747690996,2.69417717093769,-1.44262121756073,1.05368355289508,3.92007879693064,4.52931624511327,0.978975435046396,0.486920220459186,2.12838383002633,0.997972045423031,-1.05282592351193,-3.27547566059114,0.998403882767696,-0.982951459907891,-2.91537117361554,0.99819047820605,0.264603358462323,-2.09748914047896,1.06023821056815,0.994218174635373,2.60283790518897,1.10736927240396,6.68080250120607,10.3964664499616,1.04613734611466,0.264603358462323,-2.09748914047896,1.00884596479379,-1.45583398383112,-1.66927596412782
2026-04-06,1.0491749167651,1.22576805813851,-0.172101847299177,1.00624300809215,0.786180550695919,-0.244441106114298,0.987642455647671,0.686438602141856,-2.0220511507767,1.00561270437836,-2.68605260781442,-9.40122794138068,0.936709949492568,-5.98195841670466,-12.1092594173644,1.01085080803535,0.294940776433707,-3.42915382346023,1.07033837206866,1.59934975693631,2.73048728898147,0.969168304757652,0.0556378294193772,1.56666351588028,1.00108080747915,-0.00919386885732968,-2.00276922359891,0.99732349156432,-0.230556697941092,-2.05024732974148,0.995308386254609,0.143999575998412,-1.94274479956054,1.08102636457326,2.05747325988301,4.21695001735014,1.12640182299912,2.56526552761416,6.94527735467083,1.05421832812723,0.143999575998412,-1.94274479956054,1.01168109921355,-0.94816697145979,-1.4798482814214
2026-04-07,1.06910441759813,1.42986524558678,0.687559542114664,1.0090332828428,-0.294686074198057,-1.34394171841091,1.00230328845073,1.71955154667811,-0.070154672934745,0.985448463176347,-2.52119195018392,-9.56208394146141,0.921056266114152,-4.33421870676131,-11.453069887709,1.00398312928475,0.0449845086639422,-3.31605540637665,1.10351454505937,2.21413447030263,4.01039890972509,0.956410431582898,-0.330409365506729,0.926246229526485,1.00042904687129,-0.501969427990418,-2.49836931179538,0.987680358369833,-1.00763892065459,-3.03493681226729,0.996200194754222,0.257814658871724,-1.53352626907577,1.09736055325417,1.19119277959936,3.57583083432374,1.10914931610727,-0.532884937612524,3.37651166080019,1.06043012880047,0.257814658871724,-1.53352626907577,0.995404200111495,-1.97263390069324,-3.16777292539319
2026-04-08,1.10872745694855,5.27719741804755,6.53449290144309,1.0108934660099,4.73239539523335,5.54319021180866,1.05600007350163,6.83841397513998,7.80211897789879,1.00310400417438,3.18215748028728,-1.59843669592078,0.919490969039689,-0.808240994361479,-7.34504220422911,1.01797011612299,2.65846341801465,0.686923220692183,1.11218524784581,1.77049870437717,4.02067173076531,0.964836823325503,9.42912551417154,13.7696196609635,1.02110762180028,3.79030992084016,3.44892882401269,1.01379384339617,5.95805170571463,6.43229390082059,1.02141026117565,4.49403780403004,4.58366218237471,1.12062710909566,2.9086281838342,6.03569721854277,1.09298619141587,1.16204524944636,5.03405911761885,1.17175364234755,4.49403780403004,4.58366218237471,1.00221528418327,1.07645133249656,0.41762176678645
2026-04-09,1.12291506040826,2.20373719303233,4.15201665114189,1.01213358812129,2.35037803036163,3.93266779537389,1.07865860218476,2.73224488489999,4.60561501442954,1.00540964400225,1.12379460383694,-2.86700369130717,0.913048007838334,-1.33753438895241,-7.79976214089177,1.01582788501187,0.785779962556934,-0.744475876426208,1.10959321422212,1.60011666315581,4.19440727933571,0.962852456768185,4.55254783344704,10.2183195668309,1.0308069354517,1.6846335694294,1.97336395378593,1.03120283341373,2.80142250629041,4.23901837616943,1.02520590762895,1.45465026966669,2.05721998810106,1.14315183446514,2.87757850507911,6.69351636878895,1.08723080172588,0.920798761642058,4.74513836507668,1.2624589046761,1.45465026966669,2.05721998810106,1.03703432142317,2.87853509572871,3.33003087071524
2026-04-10,1.13613584920927,2.464743143926,5.0808201983399,1.01296033619556,3.07261409539657,5.56846032824985,1.10465115975941,2.87859952406717,5.57399364962572,1.00221437680208,0.843837422319765,-2.4603302416011,0.912802272734549,0.0136150138548508,-5.74995119396346,1.01412670977105,0.804688587537017,-0.286561307624284,1.12207307423927,1.89712320444011,4.89217093910519,0.95634639046698,3.12892342426061,9.36500658449246,1.046581062424,2.94150895080455,4.24603257085398,1.03651032859955,2.58551533915109,4.79518556421758,1.02773633859781,1.59083507162986,2.69901867989459,1.15899345782619,1.74724483922467,5.83290165412019,1.07676026846143,0.959882718868573,4.74468897557651,1.34251046368553,1.59083507162986,2.69901867989459,1.08800213456471,3.33568986006018,4.92656602376335
2026-04-13,1.13554374217361,1.18867661872749,3.99667461098726,1.05986441777687,4.59949101264579,8.41116298729197,1.1268598533109,1.35312436141958,4.29638894141608,0.987915271877577,-0.744038297075941,-4.05834067156301,0.907431856292873,-0.402852251005978,-5.79360859227882,1.00398289444125,-0.745327050722877,-2.01797363177783,1.13622836120232,1.13202040546904,4.25161785146341,0.952009012932844,1.48136350704856,7.70541270009941,1.0532377664914,1.91331137700686,3.77779013175006,1.0337501605642,1.65508118136109,4.24751871697698,1.02168698395881,-0.140963965616548,0.829696623166118,1.16666655083202,-0.0100909461763852,3.74915755588733,1.06493917285123,1.02000998196936,4.78893524663096,1.38454157888334,-0.140963965616548,0.829696623166118,1.12854097813958,3.29784113048389,5.891016279872
