"date","전공정_idx","전자부품_idx","전선_idx","mem_idx","후공정_idx","반도체장비_idx","건설_idx","로봇_idx","지주_idx","SW_idx","인프라_idx","자동차_idx","이차전지_idx","태양광_idx","optic_idx","반도체소재_idx","조선_idx","방산_idx","증권_idx","원전_idx","로봇2_idx","강관_idx","스페이스1_idx"
2026-03-30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2026-03-31,95.8488150099505,94.8740018220893,95.5637795587191,94.0380312941323,98.9406105069114,98.5537681509262,97.6689765711166,97.5289724249879,95.570760090369,97.5172338603184,95.6388595339555,95.5896308558718,104.047697001329,99.7670385502441,86.7707052839277,96.1498229324951,97.8851357655135,94.9888542765971,97.5476642430339,96.8375692571074,97.1857369579924,96.954437376359,88.3290306805197
2026-04-01,104.64140211515,109.676402426447,105.165948962365,105.217376804834,107.828141169898,105.496486136503,109.742855646633,105.588928076213,101.827955536702,101.452271746524,103.281800023913,103.198309951059,103.049604548627,100.291187970742,108.028960158533,105.338403582831,101.513838568421,105.164525263885,105.59100535492,106.290034528802,104.778690491427,101.478806809696,101.926534472659
2026-04-02,99.2293774613763,104.552872857714,101.097675069296,99.6636597655706,104.308481310228,100.190041035134,100.034492040945,103.452623187066,97.6607499438339,97.1450520261258,98.115578874625,98.2496971645955,104.614558528561,101.383847223183,110.572190428505,98.4419069580511,97.7242554167445,107.924065238268,98.5829740900014,98.8936836608392,98.9855762659459,104.984710105863,98.2932546888062
2026-04-03,101.08237772081,107.969070275633,103.61119866569,103.149430433126,103.424738634766,96.8814374271051,108.173933529723,103.023564044685,99.5165627629529,98.4949180979193,99.1951190317315,98.9841541113945,106.452526923774,116.701261221993,121.156446202975,96.6636840285804,105.079211643264,115.507572381333,99.6506576792279,101.496183815195,95.4690617596015,117.74469240172,96.4695436819376
2026-04-06,100.53771824085,110.447973035452,101.660685614204,105.72189952556,104.658402648193,95.2008266139585,114.249532760974,101.596739540243,100.329449394919,98.0975754732146,102.7552368292,98.203192269214,109.906259099443,111.874447709978,126.961540703601,99.6247706710401,101.788737572182,110.842067335424,100.968581796159,100.883151277445,91.7271817350851,117.609574193935,93.203561478787
2026-04-07,101.480465095158,107.501500216854,99.805794855744,106.692492291344,104.195653839608,95.8504746732904,116.119403949866,99.5707678028161,99.6069753095043,99.015352382351,100.886229384066,98.04797520882,111.209652575121,106.43126245032,117.321604013758,99.8201343307089,101.682494711099,112.490243730936,99.4643313046491,100.375116393991,90.4722529839473,111.866454551653,89.7607422326161
2026-04-08,112.271419508554,116.569187286406,108.566243029702,117.265592046092,109.374477857417,103.125167000059,141.044735187177,110.976202214819,109.608039601728,103.264340597251,109.2701917683,106.066586795143,118.275785839162,108.773481346767,123.592776790066,104.908505587386,108.001009330319,111.060136127522,110.738610905239,111.220651553704,99.3047817384636,115.0675996812,97.258933248533
2026-04-09,113.889627541747,115.953614190201,104.595689965968,113.734764043056,108.328291183301,103.017709385527,140.685328696861,110.017770418355,110.205803468017,103.575425685459,107.470324105387,103.008608148563,123.407561938443,107.485148937122,131.384537355512,104.648455338912,105.428070653093,118.894177729475,108.862222884375,108.886930017218,94.4741436633522,121.719494155318,91.0027693854699
2026-04-10,120.655455507903,129.573556947371,107.540666437329,115.338755378223,111.990795808898,109.382300986195,144.083008351089,110.54804933549,111.64223720357,103.657930114388,110.976501658155,102.237741032592,128.643535064095,108.671642733896,155.368545398095,107.553835381254,106.778119846297,124.621596375544,110.323934812912,107.343470545076,93.9657124125837,123.529399883,88.7280913177226
2026-04-13,125.256327472485,130.793289125885,105.919173589405,114.812207485934,112.950884511075,115.024642274947,140.743833318476,108.962569554379,109.379120986377,102.764418978944,118.166936425787,100.11507440298,130.788354200956,105.904488625775,161.419777252275,108.545025971042,107.176654286068,125.336792376352,110.797488191354,106.708293369454,91.3756779368334,127.827579988692,92.7193784452258
2026-04-14,128.318175832573,136.447246274966,107.96995682798,118.197359714845,121.952277600621,117.311293535428,144.813032578826,111.976197950909,112.730570777362,105.064690875686,121.966147677498,103.746722214207,126.614299513462,105.687252297028,179.658427460866,114.567386204843,111.40249779576,125.874674691934,117.152422182459,107.918899964769,103.196267708935,121.401401541352,105.758424256159
2026-04-15,136.391326715733,138.266467140331,130.137249769964,120.879701299724,123.958118693728,118.980388592031,157.170645983513,114.609796006112,114.812984932532,112.257791708597,123.453229049008,106.45866399269,123.43356662568,113.957059641677,176.607732303529,116.558352584856,111.327955557675,125.578808731694,115.047829768798,111.056516307038,104.268647414062,118.215991536953,106.847156458086
2026-04-16,139.100554164973,145.224712171292,138.184111418537,123.996106865702,136.975964124097,119.078570215625,153.144289951978,116.952818879828,115.963942161254,115.014126542691,123.777682902154,110.707921396013,123.448604848519,125.453111067755,145.517640109831,121.512203468751,112.969705627415,124.955236063953,115.407343244237,115.549530508732,110.418459514866,115.908535093918,104.434380203881
2026-04-17,141.263435004552,150.84024764821,135.389536524279,122.41353250016,142.148555829244,119.160232842942,151.647799451995,118.104870031163,115.047795262722,113.834221929577,124.746300519415,111.02585283186,129.550725164349,119.912396300839,161.391983896746,122.188370372433,119.58188185016,128.147172048722,114.429753631866,113.874967915081,110.219597042262,115.628924372601,111.556596381534
2026-04-20,151.07264237787,148.626400671528,138.352248952665,123.045311147022,145.076068120254,118.556636305749,148.881217847233,117.735846476807,116.127442679226,111.846473936746,125.612568413703,109.313658100428,134.057322365443,120.074224370979,168.559557262107,121.731907061121,117.504370213082,134.909837255987,113.922430972509,113.465391521429,112.230012406232,116.045289243661,107.773016036966
2026-04-21,160.847742164233,159.217297596751,140.987386203586,128.767971870392,142.332238503805,121.970317421094,164.260488082274,117.143721093364,117.366202964098,113.302309746693,125.046583955551,115.027152212601,145.736160620933,126.768679820394,167.570179028507,122.510185379395,125.278674900596,130.617804624379,115.12496895926,114.568690988301,111.566147540147,115.040728275123,107.429111210625
2026-04-22,164.917954788368,173.300189743115,147.528890078892,128.77990261602,145.519308984235,125.69721442656,160.70762291941,117.304475954506,117.519003232815,112.956752111948,128.460390912932,115.096755457493,156.753541176232,138.452328531104,160.799025274749,123.236282483666,134.694769676096,139.289241674616,114.02947727346,113.908041936655,108.639893692612,114.918933697888,113.079149456053
2026-04-23,163.808347241067,162.939472414955,164.234174680505,129.997908492784,143.611516229856,124.356122044583,161.201709861156,115.386217683399,121.239962038007,112.596756763417,135.394796733115,112.300170947785,149.253106597299,142.521987939498,148.476595028342,127.111593600588,136.997228637438,135.10173445361,113.217338915198,119.051504846477,106.90975322798,112.495756929485,112.097776143402
2026-04-24,165.133613273132,171.013431721193,168.989788213835,134.28741653812,150.291483104327,134.917233198525,161.939142228272,118.834402407383,123.688052522514,110.968939465199,144.409021702013,109.070410018539,153.909714515104,156.617215984912,144.700203669389,128.468376526622,145.572180703946,133.072437491376,113.202004567072,119.933699188061,109.53933595519,118.772229269177,122.409572769459
2026-04-27,168.177872870302,170.804109418268,182.821088416988,141.291200151872,147.556365043344,132.304034422842,163.616336782251,128.710976148974,125.139582532682,110.663457033025,157.683148554635,112.494759652335,153.424665282772,154.628115992535,154.37893615403,127.81861213179,150.34626583904,130.139489670993,114.432337888452,119.759188339013,115.362804906193,121.65123816018,121.913326789084
2026-04-28,168.764209076442,173.768301007367,186.217502899483,138.783468357187,149.304448209351,133.716794791013,173.037156471934,128.696935644186,124.268900163785,111.476420868042,156.325300448439,118.351511960761,160.170109306862,154.513082276128,145.794181976611,126.141483581087,143.576832187903,128.031565088155,113.496742565678,118.423289931883,116.489563611881,136.784258604725,125.224529208326
2026-04-29,170.60856261191,177.601137152602,216.695660530559,138.995575511658,148.046497192488,139.872102201867,170.881146300738,128.201288587626,126.960760811199,110.53973053637,160.468934039821,117.854850135347,162.559050205654,157.532058441933,145.643017972244,124.758475178008,148.371201397525,130.203674722063,110.345121905804,119.926133257068,113.63099302735,138.954058433193,117.560503471309
2026-04-30,166.002282469726,172.819233250985,234.565591975706,136.131987151408,151.533259898322,139.416369714367,162.950908457241,127.683621583554,127.55874465658,108.056951773904,167.483997594581,112.503487046685,155.037376646975,163.98728651802,147.010276977544,120.184441712626,145.828172251883,129.698205376027,105.798931882837,116.839208979142,113.29172003049,132.859421607522,112.018631449708
2026-05-04,170.508621589327,184.217925489919,263.101989913977,147.678437752803,158.06924066596,144.442241935934,155.457743662877,129.986471442249,134.827670310323,108.557759063499,188.666046991529,113.388425758893,157.39256399271,156.75786493334,165.613239701643,122.004342167294,146.68434393482,134.393200232024,114.362942037346,116.535042031839,120.324849481374,129.393740144523,113.358428061103
2026-05-06,179.433920124167,187.059537119678,293.992915029748,162.120405116451,165.229489317744,147.749248649375,154.192801946117,132.813135586687,142.122558994423,107.911261226278,193.959802527671,113.310034313869,157.192522781357,151.226194401028,166.465903876064,122.957362008605,139.820681821468,130.730195039656,128.64442034188,116.409209159457,115.814447502869,131.871519006673,114.095048882376
2026-05-07,184.239875554227,183.786942229129,281.453949516049,161.31876380783,157.348377552543,145.614608460779,170.578899913505,129.164484976502,146.463911853648,107.635515806718,195.622103710552,116.58137632264,160.139267475766,145.170463194635,187.343400208587,120.971595878385,141.637899783213,122.744782440799,123.154186680316,120.466746609863,116.291530612266,130.380859775087,110.33897355969
2026-05-08,186.226391697013,182.038153142238,321.835248338986,160.982436755441,161.187971228248,146.785167226132,164.866059714197,144.810114246208,147.017340172056,108.839492804512,194.511455920234,133.931261642581,157.788991485402,143.256465082709,187.078183146763,117.598179633386,134.69935424915,120.989248813807,120.790866217093,114.725621309532,125.709188554788,122.172182659259,115.368234933802
2026-05-11,209.481389861745,185.340336836089,315.162449252305,172.411905004449,166.669885753084,151.248866046856,158.334202418676,154.380112357532,150.095767288915,108.95017064734,190.461277586853,141.183770259032,160.493627037285,140.120795246859,211.197645590752,117.998011806502,135.364608106476,120.890885505751,120.364614538384,112.786941006293,135.205450936086,115.274632602539,128.358832345066
2026-05-12,207.442537107577,190.819008333727,328.151546178069,167.963349860419,158.864564525546,149.643096200192,148.662302219845,160.883672025321,146.36696342094,110.007493128622,183.617038977479,138.093308359284,154.04608952941,144.300167651062,213.31424248002,114.932316511705,132.328642251701,118.599553886042,112.338676619978,108.41668102697,140.790071536053,110.398294112019,119.899750483652
2026-05-13,219.851377964121,204.87170606712,307.643348846027,175.640321458196,189.007981948584,156.267518188685,143.754499068318,165.696805111677,147.189098661235,110.153372948797,181.302800424361,155.189266949733,154.039968272937,145.65440014121,196.737169139714,119.083834445933,132.67215385698,116.578047973068,111.077209761994,105.808812717033,143.075648959225,113.246469804042,115.222529319058
2026-05-14,219.513899806489,205.662418277118,285.905535312973,189.388329487454,187.387012134743,158.810471792307,152.54112733251,168.587156922084,147.29061531423,112.731919787977,175.871568519723,154.342535634308,168.11605322138,160.891012858613,194.177348444725,118.514244680254,128.664287409063,118.157201684636,113.360887658663,105.709934045897,134.087389733875,113.058451146757,115.905341420304
2026-05-15,197.469547741,197.344998088847,253.367813217543,183.016976475861,172.034822123468,148.830905682075,139.092969415442,168.510787094904,138.373395770013,111.097327697047,161.418512894931,151.406082264574,153.013088552045,133.348208662615,177.910906584432,110.872767424346,122.308913810333,110.871448503724,108.96509746053,100.836612817916,124.042879785903,115.805606966589,111.370533476641
2026-05-18,214.421723423037,197.820304926789,265.209966729439,193.234071290639,170.5599218901,152.459716712026,138.718982283777,154.211442206009,137.069024234764,108.226613905623,156.798150852106,139.22205310523,152.510816853549,142.377202603511,173.496759916617,109.082196407433,118.013162064302,111.67193486195,106.271382407718,98.3420604509831,118.77164832167,109.236314598436,131.118171461229
2026-05-19,203.855860761275,195.580953715291,258.814167013196,191.072671220435,161.55351003811,149.680580395689,133.173872990564,136.713315546777,132.34329410931,105.086422402689,148.993781044806,128.189286804202,154.899594591523,132.852689068579,162.095151949568,106.314300208193,113.869991778038,109.963194326165,102.375484512889,94.0038718522429,107.312240778355,111.285498089579,126.41543669586
2026-05-20,205.778381863236,198.409986493987,241.733004595227,189.782010002662,166.045504205375,147.384657321832,128.986854154555,130.734032942945,131.120525842389,102.63630644116,146.219183118854,128.066981450381,145.711547806994,125.183786462583,171.097362136079,102.432948379777,115.821895407526,107.076457991663,99.1062929452995,90.7257183897088,101.714606766581,104.230575108125,110.119439301036
2026-05-21,217.753868054145,220.713510208786,276.688627002388,216.282568147574,173.312859351621,154.484474452978,138.580412911263,158.924096889884,143.722519904443,109.322042833132,162.12127817552,149.417426025301,151.449412887276,128.845327754807,170.034173552175,108.116271414327,120.883548812692,109.135695131634,106.924071937441,97.0106194351101,121.376148205208,105.493925162371,118.759407608278
2026-05-22,241.045722602164,238.661935124737,270.709660682332,215.863933988576,182.396221148022,158.975598098921,142.10180411516,158.893809653026,149.264010912706,111.304229369174,165.138800019252,150.65346174,167.526643934464,139.425327143374,190.858792479318,113.267536506128,125.341485575491,113.159619048519,108.502919084306,99.0694130921665,124.861437854744,107.963174841507,119.664994216884
2026-05-26,245.484705213573,287.484650548153,267.598319711918,220.03737295934,192.010634987041,157.984336001071,143.90312070952,161.639975008196,154.794716806154,111.615033667486,161.835392955088,154.016814076891,162.738480582417,146.488643692595,205.242760413357,113.926634010431,131.779227906267,112.692532049365,106.943620991244,100.151503776757,125.616834435487,108.926654059361,129.285076785698
