"code","name","entry_date","exit_date","ret_pct","hold_days","c1_swing_low","c2_20d_low","c3_ma20","c4_ma60","c5_base_low","median_lag_td","n_lead","n_no_breach"
"A005935","삼성전자우",2026-05-13,2026-05-15,-7.1,2,"이탈없음","이탈없음","이탈없음","이탈없음","이탈없음",,0,5
"A425040","티이엠씨",2026-05-15,2026-06-04,-23.32,20,"4","선행16","선행2","선행13","4",4,3,0
"A005935","삼성전자우",2026-05-18,2026-05-19,-7.29,1,"이탈없음","이탈없음","이탈없음","이탈없음","이탈없음",,0,5
"A080220","제주반도체",2026-05-22,2026-07-07,-7.14,46,"선행16","이탈없음","선행14","선행16","0",0,3,1
"A033160","엔케이전자",2026-05-28,2026-06-01,-16.27,4,"1","1","1","1","1",1,0,0
"A035420","NAVER",2026-06-02,2026-06-09,-1.7,7,"이탈없음","이탈없음","선행10","선행10","이탈없음",,2,3
"A018260","삼성에스디에스",2026-06-04,2026-06-05,-4.6,1,"이탈없음","이탈없음","선행10","이탈없음","0",0,1,3
"A052710","아모텍",2026-06-17,2026-06-30,-30.79,13,"3","선행17","5","2","5",4,1,0
"A077970","STX엔진",2026-06-19,2026-07-09,-22.45,20,"12","12","14","14","14",14,0,0
"A402340","SK스퀘어",2026-06-26,2026-06-30,-6.66,4,"선행2","선행19","선행5","선행19","선행2",,5,0
"A128940","한미약품",2026-07-01,2026-07-02,-3.27,1,"선행8","선행8","선행4","1","선행8",1,4,0
"A278470","에이피알",2026-07-03,2026-08-19,-10.02,47,"15","15","31","31","31",31,0,0
"A052710","아모텍",2026-07-03,2026-08-10,-20.78,38,"23","23","25","25","23",23,0,0
"A010060","OCI홀딩스",2026-07-03,2026-07-27,-9.11,24,"12","12","15","15","14",14,0,0
"A062040","산일전기",2026-07-03,2026-07-07,-17.14,4,"0","0","2","2","2",2,0,0
"A006340","대원전선",2026-07-03,2026-07-09,-14.56,6,"이탈없음","이탈없음","1","1","0",1,0,2
"A095610","테스",2026-07-03,2026-07-21,-7.11,18,"9","선행5","10","선행5","10",10,2,0
"A298040","효성중공업",2026-07-06,2026-07-09,-16.79,3,"2","2","3","3","2",2,0,0
"A080220","제주반도체",2026-07-14,2026-07-28,-14.62,14,"2","2","9","9","9",9,0,0
"A058470","리노공업",2026-07-14,2026-08-19,-6.04,36,"15","15","24","24","15",15,0,0
"A031980","피에스케이홀딩스",2026-07-20,2026-07-27,-21.77,7,"2","1","5","2","2",2,0,0
"A009150","삼성전기",2026-07-24,2026-07-24,-3.92,0,"선행2","선행2","0","0","선행2",0,3,0
"A402340","SK스퀘어",2026-07-24,2026-07-24,-5.54,0,"0","선행2","0","0","0",0,1,0
"A229640","LS에코에너지",2026-07-27,2026-08-10,-13.95,14,"9","9","10","10","9",9,0,0
"A005090","SGC에너지",2026-07-28,2026-08-10,-6.83,13,"7","이탈없음*","9","9","9",9,0,1
"A463020","뉴엔AI",2026-08-06,2026-08-21,-15.12,15,"이탈없음*","이탈없음*","이탈없음*","이탈없음*","이탈없음*",,0,5
"A108860","셀바스AI",2026-08-06,2026-08-13,-3.07,7,"이탈없음*","이탈없음*","이탈없음*","이탈없음*","이탈없음*",,0,5
"A035420","NAVER",2026-08-06,2026-08-10,-0.71,4,"이탈없음*","이탈없음*","이탈없음*","1","이탈없음*",1,0,4
"A377480","마음AI",2026-08-06,2026-08-13,-4.14,7,"이탈없음*","이탈없음*","이탈없음*","5","이탈없음*",5,0,4
"A304100","솔트룩스",2026-08-07,2026-08-20,-7.34,13,"이탈없음*","이탈없음*","이탈없음*","이탈없음*","8",8,0,4
"A126340","비나텍",2026-08-18,2026-08-20,-8.36,2,"2","이탈없음*","선행1","2","2",2,1,1
